sample	data_type	qc_pipeline	reference	total_reads	mapped_reads	mapped_pct	proper_pairs	proper_pairs_pct	mean_mapq	median_mapq	mq0	mq0_pct	mq1_19	mq1_19_pct	mq20_29	mq20_29_pct	mq30_59	mq30_59_pct	mq60	mq60_pct	coverage_mean	coverage_median	pct_zero_coverage
SRX4183261_SRR7279530_bwamem2	Illumina_shortreads	samtools_bam_qc_v3	S_lycopersicum_4.00	33649235	33291124	98.94	31975466	95.0258	48.5617	60	5297743	15.9134	457898	1.3754	346427	1.0406	1740662	5.2286	25448394	76.4420	6.3136	5	2.0985
SRX4183303_SRR7279488_bwamem2	Illumina_shortreads	samtools_bam_qc_v3	S_lycopersicum_4.00	18027685	17862217	99.08	16953038	94.0389	48.1056	60	2877768	16.1109	331920	1.8582	218356	1.2224	958309	5.3650	13475864	75.4434	3.3822	3	8.3922
SRX4183293_SRR7279498_bwamem2	Illumina_shortreads	samtools_bam_qc_v3	S_lycopersicum_4.00	37358538	37146779	99.43	35121864	94.0130	50.2050	60	4832267	13.0086	560757	1.5096	394883	1.0630	2001534	5.3882	29357338	79.0306	6.8988	6	1.7801
SRX4183224_SRR7279567_bwamem2	Illumina_shortreads	samtools_bam_qc_v3	S_lycopersicum_4.00	255231091	253060459	99.15	230985256	90.5004	47.6919	60	39133437	15.4641	7186456	2.8398	3948245	1.5602	16125155	6.3721	186667166	73.7639	46.2425	41	2.3960
SRX4183240_SRR7279551_bwamem2	Illumina_shortreads	samtools_bam_qc_v3	S_lycopersicum_4.00	115542941	114533779	99.13	105650970	91.4387	39.7175	60	33259570	29.0391	3095689	2.7029	1725349	1.5064	6684091	5.8359	69769080	60.9157	20.9696	15	2.6026
SRX4183252_SRR7279539_bwamem2	Illumina_shortreads	samtools_bam_qc_v3	S_lycopersicum_4.00	77782881	77332556	99.42	70531236	90.6771	48.1952	60	12479085	16.1369	1302326	1.6841	844590	1.0922	4315177	5.5800	58391378	75.5069	14.2139	12	1.1584
SRX4183291_SRR7279500_bwamem2	Illumina_shortreads	samtools_bam_qc_v3	S_lycopersicum_4.00	58136620	57646504	99.16	53331468	91.7347	46.3571	60	10085995	17.4963	1715753	2.9763	931932	1.6166	3715272	6.4449	41197552	71.4658	10.6124	9	3.8116
SRX4183250_SRR7279541_bwamem2	Illumina_shortreads	samtools_bam_qc_v3	S_lycopersicum_4.00	84781765	84184266	99.30	77304880	91.1810	45.2715	60	16661149	19.7913	2223482	2.6412	1280294	1.5208	5018978	5.9619	59000363	70.0848	15.4583	13	3.1192
SRX4183281_SRR7279510_bwamem2	Illumina_shortreads	samtools_bam_qc_v3	S_lycopersicum_4.00	70169262	69692357	99.32	65133082	92.8228	48.2453	60	10519611	15.0944	1681388	2.4126	993097	1.4250	4195284	6.0197	52302977	75.0484	12.8555	11	2.6872
SRX4183236_SRR7279555_bwamem2	Illumina_shortreads	samtools_bam_qc_v3	S_lycopersicum_4.00	182093896	180499876	99.12	168923500	92.7673	48.0302	60	27204095	15.0715	4881748	2.7046	2724950	1.5097	11459275	6.3486	134229808	74.3656	33.1499	29	2.3153
